iteration,image,frozen,update_rate,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
0,0,0,1.0000000000000000e+00,-3.1364615200129757e+05,1.2148275501564474e-02,0.0000000000000000e+00,-3.1364613985302206e+05,7.3110449429291691e-01,-3.1186191009052600e-01,1.9536559894284267e-06,1.6134709725785934e-04,-6.8824654110576403e-05,4.3115139545075239e-10,0.0000000000000000e+00,1.3500000000000000e+02
0,1,0,1.0000000000000000e+00,-3.1364607612435793e+05,-3.4372737863417768e-02,0.0000000000000000e+00,-3.1364611049709580e+05,-2.0686262158300663e+00,-3.0404963901705564e+00,2.2458317751615660e+00,-4.5652646287529139e-04,-6.7100912275380492e-04,4.9563407283612960e-04,1.3500000000000000e+02,1.3500000000000000e+02
0,2,0,1.0000000000000000e+00,-3.1364587467998982e+05,-8.0915462998043641e-02,0.0000000000000000e+00,-3.1364595559545280e+05,-4.8696635831391326e+00,-5.7698760249814711e+00,4.4916578727832039e+00,-1.0746947357785353e-03,-1.2733642240939174e-03,9.9127198180835917e-04,1.3500000000000000e+02,1.3500000000000000e+02
0,3,0,1.0000000000000000e+00,-3.1364558318526798e+05,-1.2747989990231895e-01,0.0000000000000000e+00,-3.1364571066516789e+05,-7.6720076076346295e+00,-8.5000008145234567e+00,6.7374802465210735e+00,-1.6931577259790881e-03,-1.8758899607473286e-03,1.4869141581242188e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,4,0,1.0000000000000000e+00,-3.1364523304098629e+05,-1.7406604857623842e-01,0.0000000000000000e+00,-3.1364540710703487e+05,-1.0475658289316243e+01,-1.1230870758796295e+01,8.9832988963750786e+00,-2.3119154380040964e-03,-2.4785863353304059e-03,1.9825606018397815e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,5,0,1.0000000000000000e+00,-3.1364485181992617e+05,-2.2067390901980155e-01,0.0000000000000000e+00,-3.1364507249383518e+05,-1.3280615628183941e+01,-1.3962485857800237e+01,1.1229113822345205e+01,-2.9309678763808464e-03,-3.0814533504596626e-03,2.4782113130111358e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,6,0,1.0000000000000000e+00,-3.1364446352955693e+05,-2.6730348123301440e-01,0.0000000000000000e+00,-3.1364473083303816e+05,-1.6086879624238090e+01,-1.6694846111535153e+01,1.3474925024431561e+01,-3.5503150456368008e-03,-3.6844910087515830e-03,2.9738662916944047e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,7,0,1.0000000000000000e+00,-3.1364408883352141e+05,-3.1395476521587218e-01,0.0000000000000000e+00,-3.1364440278828662e+05,-1.8894450277478395e+01,-1.9427951520000864e+01,1.5720732502634018e+01,-4.1699569502993616e-03,-4.2876993128226929e-03,3.4695255379456626e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,8,0,1.0000000000000000e+00,-3.1364374522852397e+05,-3.6062776096837679e-01,0.0000000000000000e+00,-3.1364410585628496e+05,-2.1703327587904980e+01,-2.2161802083197802e+01,1.7966536256952736e+01,-4.7898935948960837e-03,-4.8910782652896757e-03,3.9651890518210310e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,9,0,1.0000000000000000e+00,-3.1364344718973903e+05,-4.0732246849052889e-01,0.0000000000000000e+00,-3.1364385451220750e+05,-2.4513511555517876e+01,-2.4896397801125673e+01,2.0212336287387448e+01,-5.4101249839546136e-03,-5.4946278687691332e-03,4.4608568333765640e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,10,0,1.0000000000000000e+00,-3.1364320627917396e+05,-4.5403888778232276e-01,0.0000000000000000e+00,-3.1364366031806177e+05,-2.7325002180316748e+01,-2.7631738673784501e+01,2.2458132593938508e+01,-6.0306511220025831e-03,-6.0983481258777717e-03,4.9565288826684392e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,11,0,1.0000000000000000e+00,-3.1364303121860058e+05,-5.0077701884376669e-01,0.0000000000000000e+00,-3.1364353199561941e+05,-3.0137799462302080e+01,-3.0367824701174179e+01,2.4703925176605537e+01,-6.6514720135678763e-03,-6.7022390392323028e-03,5.4522051997526683e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,12,0,1.0000000000000000e+00,-3.1364292794566968e+05,-5.4753686167485505e-01,0.0000000000000000e+00,-3.1364347548253136e+05,-3.2951903401473551e+01,-3.3104655883294917e+01,2.6949714035388865e+01,-7.2725876631782984e-03,-7.3063006114495741e-03,5.9478857846854329e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,13,0,1.0000000000000000e+00,-3.1364289966063888e+05,-5.9431841627559101e-01,0.0000000000000000e+00,-3.1364349397905514e+05,-3.5767313997831344e+01,-3.5842232220146578e+01,2.9195499170288286e+01,-7.8939980753618428e-03,-7.9105328451463969e-03,6.4435706375227924e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,14,0,1.0000000000000000e+00,-3.1364294687407726e+05,-6.4112168264597336e-01,0.0000000000000000e+00,-3.1364358799575991e+05,-3.8584031251375386e+01,-3.8580553711729479e+01,3.1441280581303875e+01,-8.5157032546465221e-03,-8.5149357429397266e-03,6.9392597583208659e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,15,0,1.0000000000000000e+00,-3.1364306745637860e+05,-6.8794666078599953e-01,0.0000000000000000e+00,-3.1364375540303939e+05,-4.1402055162105519e+01,-4.1319620358043068e+01,3.3687058268435649e+01,-9.1377032055604008e-03,-9.1195093074463614e-03,7.4349531471357517e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,16,0,1.0000000000000000e+00,-3.1364325668836833e+05,-7.3479335069567386e-01,0.0000000000000000e+00,-3.1364399148171901e+05,-4.4221385730022007e+01,-4.4059432159087713e+01,3.5932832231683506e+01,-9.7599979326317577e-03,-9.7242535412833883e-03,7.9306508040235552e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,17,0,1.0000000000000000e+00,-3.1364350731558679e+05,-7.8166175237499269e-01,0.0000000000000000e+00,-3.1364428897733917e+05,-4.7042022955124636e+01,-4.6799989114863351e+01,3.8178602471047618e+01,-1.0382587440388790e-02,-1.0329168447067796e-02,8.4263527290403956e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,18,0,1.0000000000000000e+00,-3.1364380959905620e+05,-8.2855186582395979e-01,0.0000000000000000e+00,-3.1364463815092202e+05,-4.9863966837413614e+01,-4.9541291225369974e+01,4.0424368986527838e+01,-1.1005471733359933e-02,-1.0934254027416684e-02,8.9220589222423763e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,19,0,1.0000000000000000e+00,-3.1364415135630738e+05,-8.7546369104257227e-01,0.0000000000000000e+00,-3.1364502681999840e+05,-5.2687217376888796e+01,-5.2283338490607591e+01,4.2670131778124315e+01,-1.1628650816073598e-02,-1.1539510284947182e-02,9.4177693836856383e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,20,0,1.0000000000000000e+00,-3.1364451798487402e+05,-9.2239722803082957e-01,0.0000000000000000e+00,-3.1364544038210204e+05,-5.5511774573550127e+01,-5.5026130910576065e+01,4.4915890845836785e+01,-1.2252124693058248e-02,-1.2144937222276385e-02,9.9134841134262009e-03,1.3500000000000000e+02,1.3500000000000000e+02
0,21,0,1.0000000000000000e+00,-3.1364489246210142e+05,-9.6935247678873360e-01,0.0000000000000000e+00,-3.1364586181457818e+05,-5.8337638427397721e+01,-5.7769668485275737e+01,4.7161646189665511e+01,-1.2875893368842572e-02,-1.2750534842021646e-02,1.0409203111520285e-02,1.3500000000000000e+02,1.3500000000000000e+02
0,22,0,1.0000000000000000e+00,-3.1364525531339226e+05,-1.0163294373162839e+00,0.0000000000000000e+00,-3.1364627164282958e+05,-6.1164808938431563e+01,-6.0513951214706147e+01,4.9407397809610288e+01,-1.3499956847955184e-02,-1.3356303146800063e-02,1.0904926378023899e-02,1.3500000000000000e+02,1.3500000000000000e+02
0,23,0,1.0000000000000000e+00,-3.1364558454215457e+05,-1.0633281096134823e+00,0.0000000000000000e+00,-3.1364664787026419e+05,-6.3993286106651752e+01,-6.3258979098867719e+01,5.1653145705671449e+01,-1.4124315134924934e-02,-1.3962242139229104e-02,1.1400653912993285e-02,1.3500000000000000e+02,1.3500000000000000e+02
0,24,0,1.0000000000000000e+00,-3.1364585551722243e+05,-1.1103484936803256e+00,0.0000000000000000e+00,-3.1364696586571611e+05,-6.6823069932058104e+01,-6.6004752137760192e+01,5.3898889877848575e+01,-1.4748968234280610e-02,-1.4568351821926047e-02,1.1896385716484447e-02,1.3500000000000000e+02,1.3500000000000000e+02
