image,enthalpy_mev_per_atom,base_energy_mev_per_atom,field_energy_mev_per_atom,polarization_magnitude_c_per_m2
0,0.0000000000000000e+00,0.0000000000000000e+00,7.5926600884194811e-02,2.8104260185397127e-03
1,6.2971866136649624e-01,1.3859701348337694e+00,-6.8032487252822094e-01,4.0606744990165443e-02
2,2.7927737883146619e+00,4.3061940594270709e+00,-1.4374936701626206e+00,8.2052227108069600e-02
3,5.0449822429072810e+00,7.3164886358426884e+00,-2.1955797920190165e+00,1.2355832030378615e-01
4,6.4196235920462641e+00,9.4501334311644314e+00,-2.9545832380974035e+00,1.6510289901651479e-01
5,6.3731339490914252e+00,1.0163564558388316e+01,-3.7145040083977783e+00,2.0668161672324359e-01
6,4.7575924429111183e+00,9.3088611467464943e+00,-4.4753421029201430e+00,2.4829304028881066e-01
7,1.8019014505625819e+00,7.1149255731143057e+00,-5.2370975216644959e+00,2.8993656270912460e-01
8,-1.9064359123149188e+00,4.1692609533129144e+00,-5.9997702646308406e+00,3.3161188538976483e-01
9,-5.4311385369146592e+00,1.4081483957852470e+00,-6.7633603318191859e+00,3.7331884638959872e-01
10,-7.4725913587826653e+00,1.3120296534907538e-01,-7.5278677232295106e+00,4.1505735194033366e-01
