iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
1,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
1,1,0,-3.1364609755801049e+05,-2.8985595700328115e-01,0.0000000000000000e+00,-3.1364638741396752e+05,-8.7220334505287997e+00,1.8847524476973838e+00,-3.6676884969993884e-04,-1.9249603339768528e-03,4.1596649700572790e-04,-8.0946202673402503e-08
1,2,0,-3.1364597073538729e+05,-5.6500289452333796e-01,0.0000000000000000e+00,-3.1364653573828179e+05,-1.7001458919895043e+01,4.3070441077132058e+00,-8.8681645168486867e-04,-3.7524739058357225e-03,9.5062845498303163e-04,-1.9573353145118435e-07
1,3,0,-3.1364585068314901e+05,-7.6587469128859476e-01,0.0000000000000000e+00,-3.1364661655784032e+05,-2.3045876805136437e+01,7.1591604543609684e+00,-1.6950599045553738e-03,-5.0870022623067373e-03,1.5802681640402689e-03,-3.7415688897967185e-07
1,4,0,-3.1364572735268768e+05,-9.2942199105993906e-01,0.0000000000000000e+00,-3.1364665677467873e+05,-2.7967166103783413e+01,9.6760620154732830e+00,2.7180421337482663e-03,-6.1737713830522867e-03,2.1359974246259734e-03,6.0000969283031281e-07
1,5,0,-3.1364559961957706e+05,-1.0708387199681708e+00,0.0000000000000000e+00,-3.1364667045829701e+05,-3.2222526085872715e+01,1.1955450365649673e+01,3.0563738162241449e-03,-7.1136585236472177e-03,2.6393644983324907e-03,6.7474535023395891e-07
1,6,0,-3.1364560319238488e+05,-1.0639465080300907e+00,0.0000000000000000e+00,-3.1364666713889292e+05,-3.2015133063167347e+01,1.1828929934650638e+01,-1.7638718442142753e-01,-7.0682394233993039e-03,2.6115683709875561e-03,-3.8942422892637928e-05
1,7,0,-3.1364560400561622e+05,-1.0557156240506902e+00,0.0000000000000000e+00,-3.1364665972124028e+05,-3.1767458162371916e+01,1.1562759707139527e+01,-3.7049923298776166e-01,-7.0143495267381934e-03,2.5530918358343683e-03,-8.1807335868087274e-05
1,8,0,-3.1364560234053584e+05,-1.0453121831390266e+00,0.0000000000000000e+00,-3.1364664765271900e+05,-3.1454409016961034e+01,1.1070226437580628e+01,-5.8840053733665831e-01,-6.9466981257818947e-03,2.4448566560082317e-03,-1.2994810704348536e-04
1,9,0,-3.1364556021879351e+05,-1.0582101950139668e+00,0.0000000000000000e+00,-3.1364661842898856e+05,-3.1842522106585317e+01,9.6580301981971388e+00,-7.7574147842337116e-01,-7.0356832507251854e-03,2.1339654275187208e-03,-1.7140197966628305e-04
1,10,0,-3.1364548550149926e+05,-1.0828633194565886e+00,0.0000000000000000e+00,-3.1364656836481870e+05,-3.2584357390122932e+01,7.8336775825830376e+00,-9.3792018820404888e-01,-7.2035881430894443e-03,1.7318305920553817e-03,-2.0735074397873268e-04
1,11,0,-3.1364534870201518e+05,-1.1462431704026796e+00,0.0000000000000000e+00,-3.1364649494518561e+05,-3.4491515641264471e+01,5.1313424710873550e+00,-9.2543669247671012e-01,-7.6289181857941563e-03,1.1349629370413228e-03,-2.0469036172450272e-04
1,12,0,-3.1364523118468624e+05,-1.2181758719816409e+00,0.0000000000000000e+00,-3.1364644936055824e+05,-3.6656037067165350e+01,2.4917054870270858e+00,-8.7825408869165278e-01,-8.1109881546478340e-03,5.5134693510693197e-04,-1.9433384184702027e-04
1,13,0,-3.1364515284499229e+05,-1.3020701954884635e+00,0.0000000000000000e+00,-3.1364645491518779e+05,-3.9180494744354675e+01,-6.2175279768812874e-02,-7.8261315887927119e-01,-8.6721950605057781e-03,-1.3761851595157665e-05,-1.7322328406017744e-04
1,14,0,-3.1364511443834135e+05,-1.4023560364633538e+00,0.0000000000000000e+00,-3.1364651679437782e+05,-4.2198188320986958e+01,-2.5200354768213837e+00,-6.0732276619928183e-01,-9.3419166896616373e-03,-5.5789033643770638e-04,-1.3445029067152725e-04
1,15,0,-3.1364511757995043e+05,-1.5089970486886888e+00,0.0000000000000000e+00,-3.1364662657699914e+05,-4.5407114870035230e+01,-4.9539183660509662e+00,-3.9523480667646771e-01,-1.0053681462439444e-02,-1.0968571199856606e-03,-8.7509740721629736e-05
1,16,0,-3.1364513097690843e+05,-1.6259907469046047e+00,0.0000000000000000e+00,-3.1364675696765532e+05,-4.8927563302042920e+01,-7.4441810403318964e+00,-8.1598249545720147e-02,-1.0832684024739154e-02,-1.6481601696584464e-03,-1.8066055095445434e-05
1,17,0,-3.1364514760541997e+05,-1.7359579773358618e+00,0.0000000000000000e+00,-3.1364688356339734e+05,-5.2236578828926071e+01,-9.9859762260364739e+00,2.6899801517157051e-01,-1.1563587833342725e-02,-2.2105910413777207e-03,5.9547968974354534e-05
1,18,0,-3.1364515854361403e+05,-1.8371934090964970e+00,0.0000000000000000e+00,-3.1364699573702313e+05,-5.5282846469321647e+01,-1.2592719192140692e+01,6.6555955801446753e-01,-1.2234511192275872e-02,-2.7868638056278245e-03,1.4729335375617651e-04
1,19,0,-3.1364517646913050e+05,-1.9109986429644084e+00,0.0000000000000000e+00,-3.1364708746777347e+05,-5.7503714121224817e+01,-1.5388220737543383e+01,1.0590756123228930e+00,-1.2720940892700174e-02,-3.4041739640232995e-03,2.3428814070788941e-04
1,20,0,-3.1364518979520653e+05,-1.9734705307729115e+00,0.0000000000000000e+00,-3.1364716326573730e+05,-5.9383550922982451e+01,-1.8213536612816529e+01,1.3848608044675830e+00,-1.3131117282697381e-02,-4.0274466864701425e-03,3.0622570326350524e-04
1,21,0,-3.1364520609047281e+05,-2.0087376590539963e+00,0.0000000000000000e+00,-3.1364721482813190e+05,-6.0444771384869426e+01,-2.0881164922502421e+01,1.2494938334037533e+00,-1.3359761116967048e-02,-4.6152441115602490e-03,2.7616845508619380e-04
1,22,0,-3.1364521450945630e+05,-2.0343985826980187e+00,0.0000000000000000e+00,-3.1364724890803901e+05,-6.1216932277157362e+01,-2.3117709536996113e+01,9.0305792062400425e-01,-1.3525507284997584e-02,-5.1077167235276961e-03,1.9952513185199938e-04
1,23,0,-3.1364521936371358e+05,-2.0490113150263238e+00,0.0000000000000000e+00,-3.1364726837502862e+05,-6.1656642888899803e+01,-2.4858178483328633e+01,3.1443602078760174e-01,-1.3619056509447478e-02,-5.4908104240513744e-03,6.9454348064790710e-05
1,24,0,-3.1364521458018402e+05,-2.0628612010430749e+00,0.0000000000000000e+00,-3.1364727744138509e+05,-6.2073398750580246e+01,-2.6322558509778951e+01,-3.3936115659046606e-01,-1.3710251327973782e-02,-5.8139057958541528e-03,-7.4955243976610239e-05
